event_id,session_id,user_id,timestamp,event_type,action,resource_id,data_volume_mb,access_success,privilege_used,admin_command_type
E000001,S00001,U000,2025-01-01 09:25:00,file_access,read,R024,16,True,False,
E000002,S00001,U000,2025-01-01 09:31:00,file_access,read,R031,15,True,False,
E000003,S00001,U000,2025-01-01 09:32:00,api_call,api_call,R015,3,True,False,
E000004,S00001,U000,2025-01-01 09:47:00,file_access,read,R022,4,True,False,
E000005,S00001,U000,2025-01-01 10:01:00,file_access,read,R037,12,True,False,
E000006,S00001,U000,2025-01-01 10:03:00,file_access,write,R015,36,True,False,
E000007,S00001,U000,2025-01-01 10:05:00,file_access,read,R022,1,True,False,
E000008,S00001,U000,2025-01-01 10:08:00,file_access,export,R022,138,True,False,
E000009,S00001,U000,2025-01-01 10:26:00,api_call,api_call,R011,7,True,False,
E000010,S00001,U000,2025-01-01 10:30:00,file_access,read,R037,4,True,False,
E000011,S00001,U000,2025-01-01 10:34:00,file_access,read,R022,16,True,False,
E000012,S00002,U000,2025-01-02 08:43:00,file_access,read,R015,0,False,False,
E000013,S00002,U000,2025-01-02 08:49:00,file_access,read,R024,8,True,False,
E000014,S00002,U000,2025-01-02 08:57:00,file_access,read,R022,6,True,False,
E000015,S00002,U000,2025-01-02 09:06:00,file_access,read,R011,1,True,False,
E000016,S00002,U000,2025-01-02 09:17:00,file_access,read,R024,14,True,False,
E000017,S00003,U000,2025-01-03 09:04:00,file_access,read,R001,0,False,False,
E000018,S00003,U000,2025-01-03 09:18:00,api_call,api_call,R000,4,True,False,
E000019,S00003,U000,2025-01-03 09:19:00,file_access,write,R031,14,True,False,
E000020,S00003,U000,2025-01-03 09:27:00,file_access,read,R037,13,True,False,
E000021,S00003,U000,2025-01-03 09:29:00,api_call,api_call,R011,3,True,False,
E000022,S00003,U000,2025-01-03 09:33:00,api_call,api_call,R024,4,True,False,
E000023,S00003,U000,2025-01-03 09:45:00,api_call,api_call,R022,4,True,False,
E000024,S00004,U000,2025-01-03 11:22:00,file_access,write,R031,30,True,False,
E000025,S00004,U000,2025-01-03 11:25:00,file_access,read,R024,17,True,False,
E000026,S00004,U000,2025-01-03 11:34:00,api_call,api_call,R001,3,True,False,
E000027,S00004,U000,2025-01-03 11:37:00,file_access,read,R006,4,True,False,
E000028,S00004,U000,2025-01-03 11:38:00,file_access,read,R022,16,True,False,
E000029,S00004,U000,2025-01-03 12:00:00,api_call,api_call,R001,7,True,False,
E000030,S00005,U000,2025-01-04 10:14:00,file_access,read,R024,18,True,False,
E000031,S00005,U000,2025-01-04 10:30:00,api_call,api_call,R001,8,True,False,
E000032,S00005,U000,2025-01-04 10:32:00,file_access,read,R000,5,True,False,
E000033,S00005,U000,2025-01-04 10:43:00,api_call,api_call,R003,6,True,False,
E000034,S00005,U000,2025-01-04 10:53:00,file_access,read,R022,17,True,False,
E000035,S00005,U000,2025-01-04 10:59:00,api_call,api_call,R024,1,True,False,
E000036,S00005,U000,2025-01-04 11:05:00,file_access,read,R001,8,True,False,
E000037,S00006,U000,2025-01-06 09:29:00,api_call,api_call,R000,8,True,False,
E000038,S00006,U000,2025-01-06 09:43:00,file_access,read,R011,15,True,False,
E000039,S00006,U000,2025-01-06 09:52:00,file_access,read,R031,12,True,False,
E000040,S00006,U000,2025-01-06 10:16:00,file_access,read,R006,4,True,False,
E000041,S00006,U000,2025-01-06 10:25:00,file_access,read,R015,2,True,False,
E000042,S00007,U000,2025-01-06 11:54:00,file_access,read,R000,15,True,False,
E000043,S00007,U000,2025-01-06 11:57:00,file_access,read,R011,1,True,False,
E000044,S00007,U000,2025-01-06 12:00:00,file_access,read,R006,5,True,False,
E000045,S00007,U000,2025-01-06 12:01:00,api_call,api_call,R011,2,True,False,
E000046,S00007,U000,2025-01-06 12:02:00,api_call,api_call,R022,6,True,False,
E000047,S00007,U000,2025-01-06 12:04:00,api_call,api_call,R022,3,True,False,
E000048,S00007,U000,2025-01-06 12:07:00,api_call,api_call,R024,3,True,False,
E000049,S00007,U000,2025-01-06 12:12:00,file_access,read,R001,8,True,False,
E000050,S00007,U000,2025-01-06 12:15:00,api_call,api_call,R000,4,True,False,
E000051,S00007,U000,2025-01-06 12:19:00,api_call,api_call,R024,5,True,False,
E000052,S00007,U000,2025-01-06 12:21:00,file_access,read,R037,13,True,False,
E000053,S00008,U000,2025-01-07 09:31:00,api_call,api_call,R001,6,True,False,
E000054,S00008,U000,2025-01-07 09:48:00,file_access,read,R006,8,True,False,
E000055,S00008,U000,2025-01-07 09:54:00,file_access,read,R031,13,True,False,
E000056,S00008,U000,2025-01-07 09:59:00,file_access,read,R022,6,True,False,
E000057,S00008,U000,2025-01-07 10:12:00,file_access,read,R001,0,False,False,
E000058,S00008,U000,2025-01-07 10:29:00,api_call,api_call,R022,7,True,False,
E000059,S00008,U000,2025-01-07 10:42:00,api_call,api_call,R001,8,True,False,
E000060,S00008,U000,2025-01-07 10:50:00,api_call,api_call,R024,7,True,False,
E000061,S00009,U000,2025-01-07 11:47:00,file_access,read,R015,2,True,False,
E000062,S00009,U000,2025-01-07 12:20:00,file_access,read,R022,12,True,False,
E000063,S00009,U000,2025-01-07 12:22:00,file_access,read,R011,18,True,False,
E000064,S00009,U000,2025-01-07 12:34:00,file_access,read,R022,7,True,False,
E000065,S00009,U000,2025-01-07 13:01:00,api_call,api_call,R014,2,True,False,
E000066,S00010,U000,2025-01-09 11:24:00,file_access,read,R024,5,True,False,
E000067,S00010,U000,2025-01-09 12:02:00,file_access,read,R011,13,True,False,
E000068,S00010,U000,2025-01-09 12:15:00,api_call,api_call,R015,9,True,False,
E000069,S00011,U000,2025-01-10 09:04:00,file_access,read,R031,5,True,False,
E000070,S00011,U000,2025-01-10 09:09:00,api_call,api_call,R024,6,True,False,
E000071,S00011,U000,2025-01-10 09:10:00,api_call,api_call,R031,7,True,False,
E000072,S00011,U000,2025-01-10 09:16:00,file_access,read,R037,4,True,False,
E000073,S00011,U000,2025-01-10 09:18:00,api_call,api_call,R011,6,True,False,
E000074,S00011,U000,2025-01-10 09:25:00,file_access,read,R001,6,True,False,
E000075,S00011,U000,2025-01-10 09:33:00,file_access,read,R011,3,True,False,
E000076,S00011,U000,2025-01-10 09:35:00,api_call,api_call,R000,9,True,False,
E000077,S00012,U000,2025-01-10 10:14:00,api_call,api_call,R011,7,True,False,
E000078,S00012,U000,2025-01-10 10:43:00,api_call,api_call,R015,4,True,False,
E000079,S00012,U000,2025-01-10 10:51:00,file_access,read,R015,11,True,False,
E000080,S00012,U000,2025-01-10 11:18:00,file_access,read,R037,4,True,False,
E000081,S00013,U000,2025-01-12 09:49:00,api_call,api_call,R024,2,True,False,
E000082,S00013,U000,2025-01-12 09:55:00,file_access,write,R011,48,True,False,
E000083,S00013,U000,2025-01-12 09:58:00,file_access,read,R024,5,True,False,
E000084,S00013,U000,2025-01-12 10:00:00,file_access,read,R001,0,False,False,
E000085,S00013,U000,2025-01-12 10:01:00,file_access,read,R001,0,False,False,
E000086,S00013,U000,2025-01-12 10:03:00,file_access,read,R001,15,True,False,
E000087,S00013,U000,2025-01-12 10:12:00,api_call,api_call,R027,7,True,False,
E000088,S00013,U000,2025-01-12 10:13:00,file_access,read,R015,6,True,False,
E000089,S00013,U000,2025-01-12 10:14:00,api_call,api_call,R033,5,True,False,
E000090,S00013,U000,2025-01-12 10:21:00,api_call,api_call,R000,6,True,False,
E000091,S00013,U000,2025-01-12 10:26:00,api_call,api_call,R003,8,True,False,
E000092,S00013,U000,2025-01-12 10:27:00,api_call,api_call,R006,4,True,False,
E000093,S00014,U000,2025-01-12 12:30:00,file_access,read,R037,9,True,False,
E000094,S00014,U000,2025-01-12 12:33:00,file_access,read,R011,7,True,False,
E000095,S00014,U000,2025-01-12 12:41:00,api_call,api_call,R000,4,True,False,
E000096,S00014,U000,2025-01-12 13:04:00,api_call,api_call,R031,1,True,False,
E000097,S00014,U000,2025-01-12 13:05:00,file_access,write,R024,12,True,False,
E000098,S00014,U000,2025-01-12 13:08:00,api_call,api_call,R031,8,True,False,
E000099,S00014,U000,2025-01-12 13:20:00,api_call,api_call,R022,7,True,False,
