event_id,session_id,user_id,timestamp,event_type,action,resource_id,data_volume_mb,access_success,privilege_used,admin_command_type
E000001,S00001,U000,2025-01-01 09:33:00,file_access,read,R033,41,True,False,
E000002,S00001,U000,2025-01-01 09:37:00,file_access,write,R002,116,True,False,
E000003,S00001,U000,2025-01-01 09:39:00,api_call,api_call,R002,16,True,True,
E000004,S00001,U000,2025-01-01 09:40:00,file_access,read,R033,36,True,False,
E000005,S00001,U000,2025-01-01 09:45:00,api_call,api_call,R039,16,True,True,
E000006,S00001,U000,2025-01-01 09:51:00,file_access,read,R034,43,True,False,
E000007,S00001,U000,2025-01-01 09:52:00,api_call,api_call,R003,17,True,True,
E000008,S00001,U000,2025-01-01 10:12:00,api_call,api_call,R033,12,True,True,
E000009,S00001,U000,2025-01-01 10:16:00,api_call,api_call,R028,14,True,True,
E000010,S00001,U000,2025-01-01 10:17:00,api_call,api_call,R027,16,True,True,
E000011,S00001,U000,2025-01-01 10:21:00,admin_action,api_call,R003,16,True,True,user_mgmt
E000012,S00001,U000,2025-01-01 10:30:00,api_call,api_call,R033,14,True,True,
E000013,S00001,U000,2025-01-01 10:36:00,admin_action,api_call,R039,22,True,True,config_change
E000014,S00001,U000,2025-01-01 10:37:00,file_access,read,R003,30,True,False,
E000015,S00001,U000,2025-01-01 10:39:00,file_access,export,R034,673,True,False,
E000016,S00001,U000,2025-01-01 10:51:00,api_call,api_call,R028,19,True,True,
E000017,S00001,U000,2025-01-01 11:01:00,admin_action,api_call,R019,18,True,True,config_change
E000018,S00001,U000,2025-01-01 11:02:00,api_call,api_call,R038,16,True,True,
E000019,S00001,U000,2025-01-01 11:05:00,file_access,read,R027,41,True,False,
E000020,S00001,U000,2025-01-01 11:10:00,api_call,api_call,R009,24,True,True,
E000021,S00001,U000,2025-01-01 11:14:00,file_access,read,R028,31,True,False,
E000022,S00001,U000,2025-01-01 11:15:00,api_call,api_call,R002,18,True,True,
E000023,S00001,U000,2025-01-01 11:18:00,file_access,read,R033,31,True,False,
E000024,S00001,U000,2025-01-01 11:33:00,file_access,read,R028,28,True,False,
E000025,S00001,U000,2025-01-01 11:36:00,file_access,read,R038,43,True,False,
E000026,S00001,U000,2025-01-01 11:38:00,api_call,api_call,R007,15,True,True,
E000027,S00001,U000,2025-01-01 11:40:00,api_call,api_call,R033,21,True,True,
E000028,S00001,U000,2025-01-01 11:41:00,api_call,api_call,R002,15,True,True,
E000029,S00001,U000,2025-01-01 11:45:00,file_access,read,R003,30,True,False,
E000030,S00001,U000,2025-01-01 11:58:00,file_access,read,R033,28,True,False,
E000031,S00001,U000,2025-01-01 12:03:00,api_call,api_call,R003,24,True,True,
E000032,S00001,U000,2025-01-01 12:08:00,file_access,read,R009,31,True,False,
E000033,S00002,U000,2025-01-02 08:30:00,api_call,api_call,R031,13,True,True,
E000034,S00002,U000,2025-01-02 08:46:00,file_access,read,R034,22,True,False,
E000035,S00002,U000,2025-01-02 08:50:00,file_access,read,R007,14,True,False,
E000036,S00002,U000,2025-01-02 08:52:00,file_access,read,R027,23,True,False,
E000037,S00002,U000,2025-01-02 08:55:00,file_access,read,R032,19,True,False,
E000038,S00002,U000,2025-01-02 08:58:00,file_access,read,R015,19,True,False,
E000039,S00002,U000,2025-01-02 09:09:00,api_call,api_call,R003,9,True,True,
E000040,S00002,U000,2025-01-02 09:24:00,api_call,api_call,R009,11,True,True,
E000041,S00002,U000,2025-01-02 09:26:00,api_call,api_call,R028,0,False,True,
E000042,S00002,U000,2025-01-02 09:35:00,file_access,read,R009,25,True,False,
E000043,S00002,U000,2025-01-02 09:36:00,api_call,api_call,R012,8,True,True,
E000044,S00002,U000,2025-01-02 09:41:00,admin_action,api_call,R033,8,True,True,config_change
E000045,S00002,U000,2025-01-02 09:43:00,file_access,write,R007,66,True,False,
E000046,S00002,U000,2025-01-02 09:48:00,file_access,export,R032,469,True,False,
E000047,S00002,U000,2025-01-02 09:54:00,file_access,read,R033,11,True,False,
E000048,S00002,U000,2025-01-02 09:55:00,api_call,api_call,R039,0,False,True,
E000049,S00002,U000,2025-01-02 09:56:00,file_access,read,R007,19,True,False,
E000050,S00002,U000,2025-01-02 09:58:00,admin_action,api_call,R010,14,True,True,permission_change
E000051,S00002,U000,2025-01-02 09:59:00,api_call,api_call,R033,16,True,True,
E000052,S00002,U000,2025-01-02 10:03:00,api_call,api_call,R009,9,True,True,
E000053,S00002,U000,2025-01-02 10:08:00,file_access,read,R009,19,True,False,
E000054,S00002,U000,2025-01-02 10:09:00,api_call,api_call,R009,12,True,True,
E000055,S00003,U000,2025-01-04 09:11:00,file_access,write,R033,66,True,False,
E000056,S00003,U000,2025-01-04 09:21:00,api_call,api_call,R033,13,True,True,
E000057,S00003,U000,2025-01-04 09:25:00,api_call,api_call,R033,8,True,True,
E000058,S00003,U000,2025-01-04 09:38:00,file_access,read,R039,0,False,False,
E000059,S00003,U000,2025-01-04 09:40:00,admin_action,api_call,R038,16,True,True,permission_change
E000060,S00003,U000,2025-01-04 09:42:00,api_call,api_call,R034,11,True,True,
E000061,S00003,U000,2025-01-04 09:43:00,api_call,api_call,R039,11,True,True,
E000062,S00003,U000,2025-01-04 09:45:00,api_call,api_call,R024,14,True,True,
E000063,S00003,U000,2025-01-04 09:52:00,file_access,read,R033,22,True,False,
E000064,S00003,U000,2025-01-04 09:54:00,file_access,write,R034,79,True,False,
E000065,S00003,U000,2025-01-04 09:56:00,api_call,api_call,R007,10,True,True,
E000066,S00003,U000,2025-01-04 10:19:00,api_call,api_call,R002,12,True,True,
E000067,S00003,U000,2025-01-04 10:20:00,api_call,api_call,R002,8,True,True,
E000068,S00003,U000,2025-01-04 10:29:00,api_call,api_call,R039,14,True,True,
E000069,S00003,U000,2025-01-04 10:30:00,file_access,read,R034,28,True,False,
E000070,S00003,U000,2025-01-04 10:41:00,api_call,api_call,R003,13,True,True,
E000071,S00003,U000,2025-01-04 10:43:00,api_call,api_call,R028,10,True,True,
E000072,S00003,U000,2025-01-04 10:44:00,file_access,export,R016,646,True,False,
E000073,S00003,U000,2025-01-04 10:46:00,api_call,api_call,R027,10,True,True,
E000074,S00003,U000,2025-01-04 10:48:00,api_call,api_call,R038,9,True,True,
E000075,S00004,U000,2025-01-04 12:08:00,file_access,read,R033,30,True,False,
E000076,S00004,U000,2025-01-04 12:23:00,api_call,api_call,R028,13,True,True,
E000077,S00004,U000,2025-01-04 12:29:00,file_access,read,R034,37,True,False,
E000078,S00004,U000,2025-01-04 12:32:00,api_call,api_call,R024,15,True,True,
E000079,S00004,U000,2025-01-04 12:41:00,file_access,read,R002,26,True,False,
E000080,S00004,U000,2025-01-04 12:46:00,file_access,read,R033,27,True,False,
E000081,S00004,U000,2025-01-04 12:49:00,api_call,api_call,R002,14,True,True,
E000082,S00004,U000,2025-01-04 12:53:00,api_call,api_call,R039,15,True,True,
E000083,S00004,U000,2025-01-04 12:55:00,api_call,api_call,R009,12,True,True,
E000084,S00004,U000,2025-01-04 13:02:00,file_access,read,R003,40,True,False,
E000085,S00004,U000,2025-01-04 13:04:00,file_access,read,R007,27,True,False,
E000086,S00004,U000,2025-01-04 13:12:00,file_access,write,R002,98,True,False,
E000087,S00004,U000,2025-01-04 13:21:00,file_access,read,R003,27,True,False,
E000088,S00004,U000,2025-01-04 13:25:00,api_call,api_call,R002,20,True,True,
E000089,S00004,U000,2025-01-04 13:26:00,file_access,write,R009,112,True,False,
E000090,S00004,U000,2025-01-04 13:34:00,api_call,api_call,R032,24,True,True,
E000091,S00004,U000,2025-01-04 13:37:00,file_access,read,R027,35,True,False,
E000092,S00004,U000,2025-01-04 13:38:00,api_call,api_call,R028,15,True,True,
E000093,S00004,U000,2025-01-04 13:44:00,api_call,api_call,R038,21,True,True,
E000094,S00004,U000,2025-01-04 13:46:00,api_call,api_call,R039,18,True,True,
E000095,S00004,U000,2025-01-04 13:51:00,api_call,api_call,R029,10,True,True,
E000096,S00004,U000,2025-01-04 13:52:00,api_call,api_call,R011,16,True,True,
E000097,S00004,U000,2025-01-04 13:59:00,file_access,read,R003,41,True,False,
E000098,S00004,U000,2025-01-04 14:05:00,api_call,api_call,R032,14,True,True,
E000099,S00004,U000,2025-01-04 14:08:00,api_call,api_call,R033,18,True,True,
E000100,S00004,U000,2025-01-04 14:10:00,file_access,export,R027,523,True,False,
E000101,S00004,U000,2025-01-04 14:15:00,api_call,api_call,R032,17,True,True,
E000102,S00004,U000,2025-01-04 14:22:00,file_access,read,R032,24,True,False,
E000103,S00004,U000,2025-01-04 14:29:00,api_call,api_call,R007,12,True,True,
E000104,S00004,U000,2025-01-04 14:34:00,api_call,api_call,R034,14,True,True,
E000105,S00005,U000,2025-01-06 10:01:00,api_call,api_call,R038,19,True,True,
E000106,S00005,U000,2025-01-06 10:23:00,file_access,read,R026,26,True,False,
E000107,S00005,U000,2025-01-06 10:41:00,file_access,write,R009,86,True,False,
E000108,S00005,U000,2025-01-06 10:42:00,api_call,api_call,R038,9,True,True,
E000109,S00005,U000,2025-01-06 10:50:00,file_access,write,R007,96,True,False,
E000110,S00005,U000,2025-01-06 10:55:00,api_call,api_call,R028,17,True,True,
E000111,S00005,U000,2025-01-06 11:05:00,api_call,api_call,R027,16,True,True,
E000112,S00005,U000,2025-01-06 11:06:00,api_call,api_call,R027,14,True,True,
E000113,S00005,U000,2025-01-06 11:10:00,api_call,api_call,R009,16,True,True,
E000114,S00005,U000,2025-01-06 11:11:00,admin_action,api_call,R038,15,True,True,permission_change
E000115,S00005,U000,2025-01-06 11:15:00,file_access,read,R003,30,True,False,
E000116,S00005,U000,2025-01-06 11:18:00,api_call,api_call,R029,17,True,True,
